,size_bytes,height,width,framespersecond,duration,i_frame,b_frame,p_frame,channel_s,frame_count,proportion_of_this_stream,stream_size,len_text,bit_rate_mode_cbr,bit_rate_mode_vbr,channel_layout_c,channel_layout_l_r,channel_positions_front_c,channel_positions_front_l_r,other_bit_rate_mode_constant,other_bit_rate_mode_variable,bitrate
124,13440500.0,480.0,854.0,23,190.34782608695653,41,2233,2104,2,7867,0.21336,2867673,1580,1,0,0,1,0,1,1,0,588
125,9936988.0,480.0,854.0,23,120.43478260869566,24,1354,1392,2,4978,0.18261,1814576,606,1,0,0,1,0,1,1,0,687
126,15717993.0,480.0,854.0,23,151.1304347826087,33,1830,1613,2,6246,0.14485,2276787,810,1,0,0,1,0,1,1,0,867
127,19396200.0,480.0,854.0,23,335.0869565217391,71,4310,3326,2,13846,0.26521,5144055,3019,1,0,0,1,0,1,1,0,482
128,19371948.0,480.0,854.0,23,218.91304347826087,45,2614,2376,2,9047,0.17024,3297805,2261,1,0,0,1,0,1,1,0,737
129,9878814.0,480.0,854.0,23,164.65217391304347,38,2039,1710,2,6805,0.2511,2480553,1057,1,0,0,1,0,1,1,0,500
130,20830499.0,480.0,854.0,23,195.2608695652174,38,2466,1987,2,8070,0.14393,2998160,1826,1,0,0,1,0,1,1,0,889
131,18549233.0,480.0,854.0,23,294.3478260869565,61,3665,3044,2,12163,0.24361,4518788,2374,1,0,0,1,0,1,1,0,525
132,13084668.0,480.0,854.0,23,217.2173913043478,46,2775,2175,2,8976,0.25486,3334757,2044,1,0,0,1,0,1,1,0,502
133,17993614.0,480.0,854.0,23,196.8695652173913,40,2751,1737,2,8136,0.16799,3022680,1352,1,0,0,1,0,1,1,0,761
134,18533216.0,480.0,854.0,23,216.7391304347826,49,2450,2486,2,8957,0.17617,3264999,1244,1,0,0,1,0,1,1,0,712
135,18331479.0,480.0,854.0,23,203.43478260869568,39,2289,2351,2,8407,0.16717,3064513,1710,1,0,0,1,0,1,1,0,751
136,10302642.0,480.0,854.0,23,125.34782608695652,27,1550,1306,2,5181,0.18331,1888574,825,1,0,0,1,0,1,1,0,685
137,8381439.0,480.0,854.0,23,117.04347826086956,23,1350,1319,2,4838,0.21041,1763544,919,1,0,0,1,0,1,1,0,596
138,13254728.0,480.0,854.0,23,143.30434782608697,30,1777,1489,2,5923,0.16289,2159047,1198,1,0,0,1,0,1,1,0,771
139,14654378.0,480.0,854.0,23,179.7391304347826,50,2310,1774,2,7428,0.18832,2759645,1537,1,0,0,1,0,1,1,0,679
140,11488624.0,480.0,854.0,23,129.52173913043478,34,1672,1273,2,5354,0.17314000000000002,1989114,1248,1,0,0,1,0,1,1,0,739
141,14875667.0,480.0,854.0,23,200.1304347826087,46,2552,2005,2,8271,0.20657,3072835,1524,1,0,0,1,0,1,1,0,619
142,16376312.0,480.0,854.0,23,123.82608695652172,37,1701,1110,2,5119,0.11613,1901807,851,1,0,0,1,0,1,1,0,1102
143,8957015.0,480.0,854.0,23,115.30434782608695,30,1388,1234,2,4766,0.19396,1737298,684,1,0,0,1,0,1,1,0,647
144,15206333.0,480.0,854.0,23,159.2608695652174,43,1777,1843,2,6582,0.15778,2399265,1045,1,0,0,1,0,1,1,0,795
145,13760882.0,480.0,854.0,23,112.2608695652174,36,1576,970,2,4641,0.1253,1724220,885,1,0,0,1,0,1,1,0,1021
146,9603089.0,480.0,854.0,24,86.25,18,637,1415,2,3717,0.1411,1354959,1117,1,0,0,1,0,1,1,0,890
147,8213453.0,360.0,640.0,23,104.82608695652172,48,0,2363,2,4333,0.147,1207344,1541,0,1,0,1,0,1,0,1,653
148,101427243.0,1080.0,1920.0,23,215.3913043478261,119,2745,2090,2,8901,0.0326,3306893,47,1,0,0,1,0,1,1,0,3925
149,9097581.0,240.0,320.0,25,227.8,135,0,5560,2,9817,0.30071,2735730,432,0,1,0,1,0,1,0,1,319
150,8491893.0,240.0,320.0,25,215.16,129,0,5250,2,9273,0.3043,2584053,174,0,1,0,1,0,1,0,1,315
151,7777484.0,240.0,320.0,25,186.2,106,0,4549,2,8025,0.28757,2236587,110,0,1,0,1,0,1,0,1,333
152,11180927.0,480.0,640.0,25,161.24,63,1578,2390,2,6951,0.22665,2534163,182,1,0,0,1,0,1,1,0,554
153,9490610.0,360.0,480.0,29,168.51724137931038,91,0,4796,2,7025,0.20628,1957748,35,0,1,0,1,0,1,0,1,465
154,18429360.0,480.0,854.0,25,165.04,65,2101,1960,2,7133,0.14109000000000002,2600115,232,1,0,0,1,0,1,1,0,890
155,19499720.0,480.0,854.0,24,188.83333333333331,66,1997,2469,2,7841,0.14658,2858195,396,1,0,0,1,0,1,1,0,856
156,46159315.0,720.0,1280.0,29,793.0344827586208,245,13403,9350,2,33048,0.26599,12277968,2141,0,1,0,1,0,1,0,1,481
157,37848259.0,720.0,1280.0,29,787.8965517241379,180,11616,11053,2,32834,0.31623,11968625,3254,0,1,0,1,0,1,0,1,397
158,45114182.0,720.0,1280.0,29,849.5172413793103,294,14008,10334,2,35402,0.29154,13152525,2546,0,1,0,1,0,1,0,1,439
159,37695161.0,720.0,1280.0,29,806.6896551724138,193,10752,12449,2,33617,0.32508000000000004,12254044,3237,0,1,0,1,0,1,0,1,386
160,54365548.0,720.0,1280.0,29,801.4827586206897,184,11739,11320,2,33400,0.22395,12174943,3244,0,1,0,1,0,1,0,1,560
161,52406085.0,720.0,1280.0,29,752.4137931034481,226,13770,7824,2,31355,0.22228,11648986,3582,0,1,0,1,0,1,0,1,575
162,48263706.0,720.0,1280.0,29,787.6896551724138,227,12888,9728,2,32825,0.24792,11965345,3612,0,1,0,1,0,1,0,1,506
163,54746018.0,720.0,1280.0,29,798.3448275862069,210,12261,10681,2,33270,0.22152,12127556,2973,0,1,0,1,0,1,0,1,566
164,44863461.0,720.0,1280.0,29,793.0344827586208,240,12961,9797,2,33048,0.26852,12046632,3430,0,1,0,1,0,1,0,1,467
165,52311118.0,720.0,1280.0,29,751.1724137931035,197,11267,10320,2,31304,0.21814,11410911,2141,0,1,0,1,0,1,0,1,575
166,50240672.0,720.0,1280.0,29,770.3448275862069,213,11656,10471,2,32103,0.23292,11702162,2203,0,1,0,1,0,1,0,1,539
167,129573497.0,480.0,656.0,25,1363.84,693,18104,15299,2,58738,0.16524,21411133,4274,1,0,0,1,0,1,1,0,760
168,113342334.0,480.0,656.0,25,1383.48,579,15097,18911,2,59584,0.19531,22136604,9051,1,0,0,1,0,1,1,0,655
169,100774402.0,480.0,656.0,25,1345.44,544,14706,18386,2,57946,0.21363,21528055,7552,1,0,0,1,0,1,1,0,599
170,91011475.0,480.0,656.0,25,1450.88,626,17398,18248,2,62487,0.25508000000000003,23215124,5873,1,0,0,1,0,1,1,0,501
171,105061034.0,480.0,656.0,25,1390.8,624,16187,17959,2,59899,0.21182,22253633,5967,1,0,0,1,0,1,1,0,604
172,122404583.0,480.0,656.0,25,1369.92,701,14740,18807,2,59000,0.1757,21506637,4297,1,0,0,1,0,1,1,0,714
173,110182076.0,480.0,656.0,25,1350.88,555,15816,17401,2,58180,0.19618,21614991,5700,1,0,0,1,0,1,1,0,652
174,115359861.0,480.0,656.0,25,1263.08,626,13613,17338,2,54399,0.17189000000000002,19829484,4005,1,0,0,1,0,1,1,0,730
175,124086025.0,480.0,656.0,25,1420.44,657,17180,17674,2,61176,0.18316,22728063,4172,1,0,0,1,0,1,1,0,698
176,124516072.0,480.0,656.0,25,1357.44,627,15612,17697,2,58463,0.17115,21310890,3019,1,0,0,1,0,1,1,0,733
177,104077267.0,480.0,656.0,25,1334.84,593,15822,16956,2,57489,0.20522,21358271,4766,1,0,0,1,0,1,1,0,623
178,112511913.0,480.0,656.0,25,1333.8,572,14883,17890,2,57444,0.18611,20939445,5068,1,0,0,1,0,1,1,0,674
179,141038279.0,480.0,656.0,25,1386.92,675,19044,14954,2,59732,0.15734,22191589,3894,1,0,0,1,0,1,1,0,813
180,126452045.0,480.0,656.0,25,1361.8,725,18259,15061,2,58650,0.16907,21379055,5453,1,0,0,1,0,1,1,0,742
181,123297856.0,480.0,656.0,25,1303.16,655,17113,14811,2,56125,0.16593,20458644,4633,1,0,0,1,0,1,1,0,756
182,143358061.0,480.0,656.0,25,1346.2,760,17512,15383,2,57979,0.14742,21134463,3171,1,0,0,1,0,1,1,0,851
